Czas_Rejestracji;Liczba_Wolnych_Miejsc;Liczba_Poj_Wjezdzajacych;Liczba_Poj_Wyjezdzajacych;Nazwa
2016-11-27 03:10:01.813;80;0;0;ul. św. Antoniego
2016-11-27 03:11:32.507;482;0;0;Renoma
2016-11-27 03:15:00.013;248;0;0;Nowy Targ
2016-11-27 03:15:01.550;786;0;0;Parking Hala Stulecia
2016-11-27 03:15:01.790;80;0;0;ul. św. Antoniego
2016-11-27 03:20:00.020;249;0;1;Nowy Targ
2016-11-27 03:20:01.713;82;0;1;ul. św. Antoniego
2016-11-27 03:20:02.207;786;0;0;Parking Hala Stulecia
2016-11-27 03:21:32.480;487;0;0;Renoma
2016-11-27 03:25:00.017;249;0;0;Nowy Targ
2016-11-27 03:25:01.657;84;0;1;ul. św. Antoniego
2016-11-27 03:25:01.973;786;0;0;Parking Hala Stulecia
2016-11-27 03:30:00.023;249;0;0;Nowy Targ
2016-11-27 03:30:01.467;86;0;1;ul. św. Antoniego
2016-11-27 03:30:01.847;786;0;0;Parking Hala Stulecia
2016-11-27 03:31:32.450;514;0;0;Renoma
2016-11-27 03:35:00.013;250;0;1;Nowy Targ
2016-11-27 03:35:01.477;86;0;0;ul. św. Antoniego
2016-11-27 03:35:01.763;786;0;0;Parking Hala Stulecia
2016-11-27 03:40:00.017;251;0;1;Nowy Targ
2016-11-27 03:40:01.207;88;0;1;ul. św. Antoniego
2016-11-27 03:40:01.527;786;0;0;Parking Hala Stulecia
2016-11-27 03:41:32.557;469;0;0;Renoma
2016-11-27 03:45:00.017;252;0;1;Nowy Targ
2016-11-27 03:45:01.210;786;0;0;Parking Hala Stulecia
2016-11-27 03:45:01.350;88;0;0;ul. św. Antoniego
2016-11-27 03:50:00.020;253;0;1;Nowy Targ
2016-11-27 03:50:01.170;88;0;0;ul. św. Antoniego
2016-11-27 03:50:01.833;786;0;0;Parking Hala Stulecia
2016-11-27 03:51:32.577;485;0;0;Renoma
2016-11-27 03:55:00.017;253;0;0;Nowy Targ
2016-11-27 03:55:01.497;786;0;0;Parking Hala Stulecia
2016-11-27 03:55:01.983;88;0;0;ul. św. Antoniego
2016-11-27 04:00:00.017;253;0;0;Nowy Targ
2016-11-27 04:00:01.723;90;0;1;ul. św. Antoniego
2016-11-27 04:00:02.187;786;0;0;Parking Hala Stulecia
2016-11-27 04:01:32.403;533;0;0;Renoma
2016-11-27 04:05:00.017;253;0;0;Nowy Targ
2016-11-27 04:05:01.520;90;0;0;ul. św. Antoniego
2016-11-27 04:05:01.883;786;0;0;Parking Hala Stulecia
2016-11-27 04:10:00.017;259;0;0;Nowy Targ
2016-11-27 04:10:01.317;90;0;0;ul. św. Antoniego
2016-11-27 04:10:01.583;787;0;1;Parking Hala Stulecia
2016-11-27 04:11:32.427;490;0;0;Renoma
2016-11-27 04:15:00.013;259;0;0;Nowy Targ
2016-11-27 04:15:01.183;90;0;0;ul. św. Antoniego
2016-11-27 04:15:01.510;787;0;0;Parking Hala Stulecia
2016-11-27 04:20:00.017;260;1;2;Nowy Targ
2016-11-27 04:20:01.570;787;0;0;Parking Hala Stulecia
2016-11-27 04:20:02.030;92;0;1;ul. św. Antoniego
2016-11-27 04:21:32.567;456;0;0;Renoma
2016-11-27 04:25:00.020;261;0;1;Nowy Targ
2016-11-27 04:25:01.303;786;1;0;Parking Hala Stulecia
2016-11-27 04:25:01.880;92;0;0;ul. św. Antoniego
2016-11-27 04:30:00.017;261;0;0;Nowy Targ
2016-11-27 04:30:01.697;92;0;0;ul. św. Antoniego
2016-11-27 04:30:02.163;787;0;1;Parking Hala Stulecia
2016-11-27 04:31:32.397;535;0;0;Renoma
2016-11-27 04:35:00.017;261;0;0;Nowy Targ
2016-11-27 04:35:01.617;92;0;0;ul. św. Antoniego
2016-11-27 04:35:02.147;787;0;0;Parking Hala Stulecia
2016-11-27 04:40:00.027;261;0;0;Nowy Targ
2016-11-27 04:40:01.743;92;0;0;ul. św. Antoniego
2016-11-27 04:40:01.923;787;0;0;Parking Hala Stulecia
2016-11-27 04:41:32.400;552;0;0;Renoma
2016-11-27 04:45:00.017;261;0;0;Nowy Targ
2016-11-27 04:45:01.623;94;0;1;ul. św. Antoniego
2016-11-27 04:45:01.990;787;0;0;Parking Hala Stulecia
2016-11-27 04:50:00.017;261;0;0;Nowy Targ
2016-11-27 04:50:01.397;94;0;0;ul. św. Antoniego
2016-11-27 04:50:01.737;787;0;0;Parking Hala Stulecia
2016-11-27 04:51:32.603;497;0;0;Renoma
2016-11-27 04:55:00.017;261;0;0;Nowy Targ
2016-11-27 04:55:01.283;787;0;0;Parking Hala Stulecia
2016-11-27 04:55:01.543;94;0;0;ul. św. Antoniego
2016-11-27 05:00:00.017;261;0;0;Nowy Targ
2016-11-27 05:00:01.547;96;0;1;ul. św. Antoniego
2016-11-27 05:00:01.923;787;0;0;Parking Hala Stulecia
2016-11-27 05:01:32.517;527;0;0;Renoma
2016-11-27 05:05:00.017;261;0;0;Nowy Targ
2016-11-27 05:05:01.283;787;1;1;Parking Hala Stulecia
2016-11-27 05:05:01.760;96;0;0;ul. św. Antoniego
2016-11-27 05:10:00.017;261;0;0;Nowy Targ
2016-11-27 05:10:01.337;787;0;0;Parking Hala Stulecia
2016-11-27 05:10:01.883;96;0;0;ul. św. Antoniego
2016-11-27 05:11:32.427;494;0;0;Renoma
2016-11-27 05:15:00.013;261;0;0;Nowy Targ
2016-11-27 05:15:01.783;96;0;0;ul. św. Antoniego
2016-11-27 05:15:02.037;787;0;0;Parking Hala Stulecia
2016-11-27 05:20:00.017;262;0;1;Nowy Targ
2016-11-27 05:20:01.617;787;0;0;Parking Hala Stulecia
2016-11-27 05:20:01.857;96;0;0;ul. św. Antoniego
2016-11-27 05:21:32.430;547;0;0;Renoma
2016-11-27 05:25:00.013;262;0;0;Nowy Targ
2016-11-27 05:25:01.317;787;0;0;Parking Hala Stulecia
2016-11-27 05:25:01.677;96;0;0;ul. św. Antoniego
2016-11-27 05:30:00.017;262;0;0;Nowy Targ
2016-11-27 05:30:01.513;97;0;1;ul. św. Antoniego
2016-11-27 05:30:02.040;787;0;0;Parking Hala Stulecia
2016-11-27 05:31:32.540;524;0;0;Renoma
2016-11-27 05:35:00.013;262;0;0;Nowy Targ
2016-11-27 05:35:01.490;97;0;0;ul. św. Antoniego
2016-11-27 05:35:01.833;787;0;0;Parking Hala Stulecia
2016-11-27 05:40:00.017;262;0;0;Nowy Targ
2016-11-27 05:40:01.307;97;0;0;ul. św. Antoniego
2016-11-27 05:40:01.703;787;0;0;Parking Hala Stulecia
2016-11-27 05:41:32.460;535;0;0;Renoma
2016-11-27 05:45:00.017;262;0;0;Nowy Targ
2016-11-27 05:45:01.487;787;0;0;Parking Hala Stulecia
2016-11-27 05:45:02.127;97;0;0;ul. św. Antoniego
2016-11-27 05:50:00.010;262;0;0;Nowy Targ
2016-11-27 05:50:01.207;97;0;0;ul. św. Antoniego
2016-11-27 05:50:01.597;787;0;0;Parking Hala Stulecia
2016-11-27 05:51:32.427;485;0;0;Renoma
2016-11-27 05:55:00.013;262;0;0;Nowy Targ
2016-11-27 05:55:01.347;97;0;0;ul. św. Antoniego
2016-11-27 05:55:01.837;787;0;0;Parking Hala Stulecia
2016-11-27 06:00:00.020;262;0;0;Nowy Targ
2016-11-27 06:00:01.277;97;0;0;ul. św. Antoniego
2016-11-27 06:00:01.903;787;0;0;Parking Hala Stulecia
2016-11-27 06:01:32.493;456;0;0;Renoma
2016-11-27 06:05:00.013;262;0;0;Nowy Targ
2016-11-27 06:05:01.337;97;0;0;ul. św. Antoniego
2016-11-27 06:05:02.237;787;0;0;Parking Hala Stulecia
2016-11-27 06:10:00.023;262;0;0;Nowy Targ
2016-11-27 06:10:01.220;97;0;0;ul. św. Antoniego
